equipment-export-2026-06-02-101353;;;;;;;;;;;
Registration Number;Fleet ID;Type;Vin/Serial ID;Make;Model;Engine Capacity;Fuel Consumption;Loading/Carrying Capacity (Tonnes);Location;Company;Status
AGL7330;2HGT714;TIPPER;;HOWO;Sino Truck;;;;OTHER;HarvGood;AVAILABLE
AGZ8656;2HGT857;TIPPER;;;;;;;;HarvGood;AVAILABLE
AHA2792;2TMT719;TIPPER;LZZ5ELSD2S326418;SINO;SINO;;;;;Tombest;AVAILABLE
AGZ8680;2HGT845;TIPPER;;;;;;;;HarvGood;AVAILABLE
AFQ3907;2WTT833;TIPPER;;Volvo;;;2.2;20;WALDEN;Willo & TH Safety;AVAILABLE
AGZ6652;2HGT835;TIPPER;;;;;;;;HarvGood;AVAILABLE
;2DCT771;TIPPER;;;;;;;AMATOLA;Detame  Cate Pvt;AVAILABLE
AGZ8664;2HGT849;TIPPER;;;;;;;;HarvGood;AVAILABLE
AGZ8681;2HGT855;TIPPER;;;;;;;;HarvGood;AVAILABLE
AGZ8681;2HGT755;TIPPER;;;;;;;;HarvGood;AVAILABLE
AFQ8350;2HGT892;TIPPER;;;;;;;;HarvGood;AVAILABLE
AGZ6535;2HGT893;TIPPER;;;;;;;;HarvGood;AVAILABLE
AHA4412;2TMT889;TIPPER;YS2P6X40001254519;SCANIA;;;2.2;20;WALDEN;Tombest;AVAILABLE
AHA3999;2TMT866;TIPPER;WJMJ3JPS70C312372;IVECO;;;2.2;;WALDEN;Tombest;AVAILABLE
AGL9284;2LTT880;TIPPER;;;;;;;;Logi Trans;AVAILABLE
AHA3999;2TMT866;TIPPER;;;;;;;;Tombest;AVAILABLE
AGZ8655;2HGT856;TIPPER;;;;;;;;HarvGood;AVAILABLE
AGZ6507;2HGT865;TIPPER;;;;;;;;HarvGood;AVAILABLE
AFQ8351;2HGT897;TIPPER;;;;;;;;HarvGood;AVAILABLE
AGZ6508;2HGT869;TIPPER;;;;;;;;HarvGood;AVAILABLE
AGJ1977;2HGT895;TIPPER;;;;;;;;HarvGood;AVAILABLE
AFQ8355;2HGT894;TIPPER;;;;;;;;HarvGood;AVAILABLE
AHE2201;1MMT899;TIPPER;;;;;;;;Magaya Mining;AVAILABLE
AGL7327;2HGT864;TIPPER;;;;;;;;HarvGood;AVAILABLE
;1MMJ27;TLB;CD4045G178537;Bell;TLB;;;;AMATOLA;Magaya Mining;AVAILABLE
;1MMS30;TRACTOR;;Massey Ferguson 440;Tractor;;;;AMATOLA;Magaya Mining;AVAILABLE
;1MMS35;TRACTOR;;Massey Ferguson;Tractor;;;;AMATOLA;Magaya Mining;AVAILABLE
;1MMS38;TRACTOR;BTY19070;FORD TANDEM-1;Tractor;;;;AMATOLA;Magaya Mining;AVAILABLE
;2CCS904;TRACTOR;E2HDL1599228S3;;;;;;WALDEN;Connect Cut;AVAILABLE
;1MMS42;TRACTOR;MF-6207514M1;Massey Ferguson;Tractor;;;;AMATOLA;Magaya Mining;AVAILABLE
;M15;MILL;;;;;;;WALDEN;;AVAILABLE
;M8;MILL;;;;;;;WALDEN;;AVAILABLE
;M7;MILL;;;;;;;WALDEN;;AVAILABLE
;M12;MILL;;;;;;;WALDEN;;AVAILABLE
;M20;MILL;;;;;;;WALDEN;;AVAILABLE
;M17;MILL;;;;;;;WALDEN;;AVAILABLE
;M6;MILL;;;;;;;WALDEN;;AVAILABLE
;M5;MILL;;;;;;;WALDEN;;AVAILABLE
;M4;MILL;;;;;;;WALDEN;;AVAILABLE
;M18;MILL;;;;;;;WALDEN;;AVAILABLE
;M19;MILL;;;;;;;WALDEN;;AVAILABLE
;N3;MILL;;;;;;;WALDEN;;AVAILABLE
;M2;MILL;;;;;;;WALDEN;;AVAILABLE
;N7;MILL;;;;;;;WALDEN;;AVAILABLE
;M1;MILL;;;;;;;WALDEN;;AVAILABLE
;A1;MILL;;;;;;;;;AVAILABLE
;M9;MILL;;;;;;;WALDEN;;AVAILABLE
;N4;MILL;;;;;;;WALDEN;;AVAILABLE
;5TPH2;MILL;;;;;;;WALDEN;;AVAILABLE
;5TPH1;MILL;;;;;;;WALDEN;;AVAILABLE
